crop_name,green_wf,blue_wf,grey_wf,total_wf
Other pulses n.e.c.,2681.6,217.4,-0.0,2899.0
"Other stimulant, spice and aromatic crops, n.e.c.",1230.9,435.4,0.0,1666.3
Other stone fruits,554.0,379.0,0.0,933.0
Other sugar crops n.e.c.,1122.1,233.6,-0.0,1355.7
"Other tropical fruits, n.e.c.",952.9,81.8,0.0,1034.7
"Other vegetables, fresh n.e.c.",216.8,34.9,0.0,251.7
Papayas,231.3,14.9,0.0,246.2
Peaches and nectarines,343.3,83.6,0.0,426.9
Pears,341.4,32.2,-0.0,373.6
"Peas, dry",1196.8,96.6,-0.0,1293.4
"Peas, green",387.0,85.3,0.0,472.3
"Pepper (Piper spp.), raw",3593.4,447.2,0.0,4040.6
"Peppermint, spearmint",50.0,151.0,-0.0,201.0
Persimmons,1291.5,35.7,-0.0,1327.2
"Pigeon peas, dry",2107.6,71.4,0.0,2179.0
Pineapples,287.3,10.7,-0.0,298.0
"Pistachios, in shell",2553.7,3755.8,0.0,6309.5
Plantains and cooking bananas,1476.9,17.8,0.0,1494.7
Plums and sloes,1238.6,98.2,-0.0,1336.8
Pomelos and grapefruits,254.0,25.8,0.0,279.8
Poppy seed,3621.0,120.2,0.0,3741.2
Potatoes,152.4,24.9,0.0,177.3
"Pumpkins, squash and gourds",209.9,56.4,-0.0,266.3
"Pyrethrum, dried flowers",15044.3,389.3,-0.0,15433.6
Quinces,554.6,207.0,0.0,761.6
Quinoa,5156.0,815.5,0.0,5971.5
"Ramie, raw or retted",1178.1,101.1,0.0,1279.2
Rape or colza seed,1191.4,131.0,-0.0,1322.4
Raspberries,556.6,52.9,-0.0,609.5
Rice,580.1,366.3,0.0,946.4
Rye,1093.4,62.8,0.0,1156.2
Safflower seed,2895.4,588.8,0.0,3484.2
"Seed cotton, unginned",1566.0,872.8,-0.0,2438.8
Sesame seed,5894.7,227.7,0.0,6122.4
"Sisal, raw",5448.3,114.5,-0.0,5562.8
Sorghum,2575.1,153.7,0.0,2728.8
Sour cherries,735.5,207.4,-0.0,942.9
Soya beans,1536.5,50.3,-0.0,1586.8
Spinach,106.9,18.6,0.0,125.5
Strawberries,176.2,23.4,-0.0,199.6
String beans,256.1,218.1,-0.0,474.2
Sugar beet,56.0,20.3,-0.0,76.3
Sugar cane,103.4,37.6,-0.0,141.0
Sunflower seed,2040.7,116.8,0.0,2157.5
Swedes for fodder,42.9,13.3,0.0,56.2
Sweet potatoes,214.3,2.2,0.0,216.5
Tallowtree seeds,194.9,1.6,-0.0,196.5
"Tangerines, mandarins, clementines",461.9,70.4,0.0,532.3
Taro,521.7,6.2,-0.0,527.9
Tea leaves,1433.9,21.3,-0.0,1455.2
Tomatoes,87.1,37.5,-0.0,124.6
Triticale,818.4,21.9,-0.0,840.3
"True hemp, raw or retted",586.2,26.2,0.0,612.4
Tung nuts,1101.0,10.5,0.0,1111.5
Turnips for forage,73.0,6.6,-0.0,79.6
Unmanufactured tobacco,1342.9,60.1,0.0,1403.0
"Vanilla, raw",122173.3,768.6,-0.0,122941.9
Vegetables and roots fodder,102.3,98.2,-0.0,200.5
Vetches,1420.3,127.7,-0.0,1548.0
"Walnuts, in shell",1611.2,659.7,0.0,2270.9
Watermelons,83.2,42.7,-0.0,125.9
Wheat,827.5,182.8,-0.0,1010.3
Yams,498.8,2.5,0.0,501.3
Yautia,238.8,39.2,-0.0,278.0
